sample	sample_type	n_good_genes	n_good_nif_genes	n_good_nod_related_genes	nifH	nifD	nifK	nifJ	nodL	nolG	nolF	noeA	noeB	nodX	recovered_genes
BLAN-1-1-No	No	9	3	6	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	nifH+nifD+nifK+nodL+nolG+nolF+noeA+noeB+nodX
BLAN-1-1-Rh	Rh	9	3	6	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	nifH+nifD+nifK+nodL+nolG+nolF+noeA+noeB+nodX
BLAN-1-1-Ro	Ro	9	3	6	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	nifH+nifD+nifK+nodL+nolG+nolF+noeA+noeB+nodX
BLAN-2-1-No	No	9	3	6	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	nifH+nifD+nifK+nodL+nolG+nolF+noeA+noeB+nodX
BLAN-2-1-Rh	Rh	8	3	5	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	nifH+nifD+nifK+nodL+nolG+nolF+noeA+noeB
BLAN-2-1-Ro	Ro	9	3	6	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	nifH+nifD+nifK+nodL+nolG+nolF+noeA+noeB+nodX
BLAN-3-1-No	No	9	3	6	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	nifH+nifD+nifK+nodL+nolG+nolF+noeA+noeB+nodX
BLAN-3-1-Rh	Rh	6	3	3	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	nifH+nifD+nifK+nolG+nolF+nodX
BLAN-3-1-Ro	Ro	8	3	5	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	nifH+nifD+nifK+nodL+nolG+nolF+noeA+nodX
BLAN-4-1-No	No	7	3	4	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	nifH+nifD+nifK+nolG+nolF+noeA+nodX
BLAN-4-1-Rh	Rh	3	2	1	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	nifH+nifD+nolF
BLAN-4-1-Ro	Ro	9	3	6	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	nifH+nifD+nifK+nodL+nolG+nolF+noeA+noeB+nodX
BLAN-4-2-No	No	1	1	0	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	nifJ
BLAN-4-2-Rh	Rh	1	1	0	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	nifJ
BLAN-4-2-Ro	Ro	1	1	0	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	nifJ
BONA-1-1-No	No	2	2	0	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	nifH+nifJ
BONA-1-1-Rh	Rh	0	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	None
BONA-1-1-Ro	Ro	0	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	None
BONA-10-2-No	No	1	1	0	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	nifJ
BONA-10-2-Rh	Rh	1	1	0	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	nifJ
BONA-10-2-Ro	Ro	1	1	0	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	nifJ
BONA-10-No	No	1	1	0	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	nifJ
BONA-10-Rh	Rh	1	1	0	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	nifJ
BONA-10-Ro	Ro	1	1	0	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	nifJ
BONA-11-1-No	No	1	1	0	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	nifJ
BONA-11-1-Rh	Rh	1	1	0	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	nifJ
BONA-11-1-Ro	Ro	0	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	None
BONA-11-2-No	No	1	1	0	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	nifJ
BONA-11-2-Rh	Rh	1	1	0	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	nifJ
BONA-11-2-Ro	Ro	0	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	None
BONA-11-3-No	No	0	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	None
BONA-11-3-Rh	Rh	0	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	None
BONA-11-3-Ro	Ro	0	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	None
